OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,Usage_multiple,PartHabitation(%),PartNonHabitation(%),z_GFAtotal
1,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12.0,88434,0,88434,Hotel,Hotel,88434.0,,,,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,,249.98,2.83,Mono usage,0.0,100.0,-0.10036740669438478
2,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,,295.86,2.86,Multi usage,0.0,100.0,-0.007941992762786433
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10.0,61320,0,61320,Hotel,Hotel,61320.0,,,,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,,286.43,4.67,Mono usage,0.0,100.0,-0.265978209849378
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18.0,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,,505.01,2.88,Multi usage,0.0,100.0,0.43191551178850374
9,NonResidential,Other,West Precinct,810 Virginia St,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2.0,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,False,Compliant,,301.81,3.1,Mono usage,0.0,100.0,-0.04628766740345352
10,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11.0,83008,0,83008,Hotel,Hotel,81352.0,,,,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,,176.14,2.12,Mono usage,0.0,100.0,-0.1335091127473092
11,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,False,Compliant,,221.51,2.16,Mono usage,0.0,100.0,-0.012858887965993984
12,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15.0,163984,0,163984,Hotel,Hotel,163984.0,,,,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,,392.16,2.39,Mono usage,0.0,100.0,0.36108778908490774
15,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11.0,153163,19279,133884,Hotel,Hotel,133884.0,,,,,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,False,Compliant,,691.26,4.51,Mono usage,0.0,100.0,0.294993723253965
16,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,False,Compliant,,740.97,2.22,Mono usage,0.0,100.0,1.3945031098564507
